,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/27/20 23:59,1423,76.0,45.0
1,Guangdong,Mainland China,1/27/20 23:59,151,0.0,4.0
2,Zhejiang,Mainland China,1/27/20 23:59,128,0.0,1.0
3,Henan,Mainland China,1/27/20 23:59,128,1.0,0.0
4,Chongqing,Mainland China,1/27/20 23:59,110,0.0,0.0
5,Hunan,Mainland China,1/27/20 23:59,100,0.0,0.0
6,Beijing,Mainland China,1/27/20 23:59,80,1.0,2.0
7,Shandong,Mainland China,1/27/20 23:59,75,0.0,0.0
8,Jiangxi,Mainland China,1/27/20 23:59,72,0.0,2.0
9,Anhui,Mainland China,1/27/20 23:59,70,0.0,0.0
10,Sichuan,Mainland China,1/27/20 23:59,69,0.0,0.0
11,Fujian,Mainland China,1/27/20 23:59,59,0.0,0.0
12,Shanghai,Mainland China,1/27/20 23:59,53,1.0,3.0
13,Jiangsu,Mainland China,1/27/20 23:59,47,0.0,1.0
14,Guangxi,Mainland China,1/27/20 23:59,46,0.0,0.0
15,Shaanxi,Mainland China,1/27/20 23:59,35,0.0,0.0
16,Hainan,Mainland China,1/27/20 23:59,33,1.0,0.0
17,Liaoning,Mainland China,1/27/20 23:59,27,0.0,0.0
18,Yunnan,Mainland China,1/27/20 23:59,26,0.0,0.0
19,Tianjin,Mainland China,1/27/20 23:59,23,0.0,0.0
20,Heilongjiang,Mainland China,1/27/20 23:59,21,1.0,0.0
21,Hebei,Mainland China,1/27/20 23:59,18,1.0,0.0
22,Gansu,Mainland China,1/27/20 23:59,14,0.0,0.0
23,Shanxi,Mainland China,1/27/20 23:59,13,0.0,0.0
24,Inner Mongolia,Mainland China,1/27/20 23:59,11,0.0,0.0
25,Hong Kong,Hong Kong,1/27/20 23:59,8,0.0,0.0
26,Guizhou,Mainland China,1/27/20 23:59,7,0.0,0.0
27,Ningxia,Mainland China,1/27/20 23:59,7,0.0,0.0
28,Jilin,Mainland China,1/27/20 23:59,6,0.0,0.0
29,Macau,Macau,1/27/20 23:59,6,0.0,0.0
30,Qinghai,Mainland China,1/27/20 23:59,6,0.0,0.0
31,Taiwan,Taiwan,1/27/20 23:59,5,0.0,0.0
32,Xinjiang,Mainland China,1/27/20 23:59,5,0.0,0.0
33,Washington,US,1/27/20 23:59,1,0.0,0.0
34,Illinois,US,1/27/20 23:59,1,0.0,0.0
35,California,US,1/27/20 23:59,2,0.0,0.0
36,Arizona,US,1/27/20 23:59,1,0.0,0.0
37,0,Japan,1/27/20 23:59,4,0.0,1.0
38,0,Thailand,1/27/20 23:59,8,0.0,2.0
39,0,South Korea,1/27/20 23:59,4,0.0,0.0
40,0,Singapore,1/27/20 23:59,5,0.0,0.0
41,0,Vietnam,1/27/20 23:59,2,0.0,0.0
42,0,France,1/27/20 23:59,3,0.0,0.0
43,0,Nepal,1/27/20 23:59,1,0.0,0.0
44,0,Malaysia,1/27/20 23:59,4,0.0,0.0
45,Ontario,Canada,1/27/20 23:59,1,0.0,0.0
46,0,Cambodia,1/27/20 23:59,1,0.0,0.0
47,0,Sri Lanka,1/27/20 23:59,1,0.0,0.0
48,0,Ivory Coast,1/27/20 23:59,1,0.0,0.0
49,New South Wales,Australia,1/27/20 23:59,4,0.0,0.0
50,Victoria,Australia,1/27/20 23:59,1,0.0,0.0
