,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/28/20 23:00,3554,125.0,80.0
1,Guangdong,Mainland China,1/28/20 23:00,207,0.0,4.0
2,Zhejiang,Mainland China,1/28/20 23:00,173,0.0,3.0
3,Henan,Mainland China,1/28/20 23:00,168,1.0,0.0
4,Hunan,Mainland China,1/28/20 23:00,143,0.0,0.0
5,Chongqing,Mainland China,1/28/20 23:00,132,0.0,0.0
6,Jiangxi,Mainland China,1/28/20 23:00,109,0.0,3.0
7,Anhui,Mainland China,1/28/20 23:00,106,0.0,0.0
8,Shandong,Mainland China,1/28/20 23:00,95,0.0,0.0
9,Beijing,Mainland China,1/28/20 23:00,91,1.0,4.0
10,Sichuan,Mainland China,1/28/20 23:00,90,0.0,0.0
11,Fujian,Mainland China,1/28/20 23:00,80,0.0,0.0
12,Jiangsu,Mainland China,1/28/20 23:00,70,0.0,1.0
13,Shanghai,Mainland China,1/28/20 23:00,66,1.0,4.0
14,Guangxi,Mainland China,1/28/20 23:00,51,0.0,2.0
15,Shaanxi,Mainland China,1/28/20 23:00,46,0.0,0.0
16,Yunnan,Mainland China,1/28/20 23:00,44,0.0,0.0
17,Hainan,Mainland China,1/28/20 23:00,40,1.0,0.0
18,Liaoning,Mainland China,1/28/20 23:00,34,0.0,0.0
19,Hebei,Mainland China,1/28/20 23:00,33,1.0,0.0
20,Heilongjiang,Mainland China,1/28/20 23:00,33,1.0,0.0
21,Shanxi,Mainland China,1/28/20 23:00,27,0.0,0.0
22,Tianjin,Mainland China,1/28/20 23:00,24,0.0,0.0
23,Gansu,Mainland China,1/28/20 23:00,19,0.0,0.0
24,Inner Mongolia,Mainland China,1/28/20 23:00,15,0.0,0.0
25,Ningxia,Mainland China,1/28/20 23:00,11,0.0,0.0
26,Xinjiang,Mainland China,1/28/20 23:00,10,0.0,0.0
27,Guizhou,Mainland China,1/28/20 23:00,9,0.0,0.0
28,Jilin,Mainland China,1/28/20 23:00,8,0.0,0.0
29,Taiwan,Taiwan,1/28/20 23:00,8,0.0,0.0
30,Hong Kong,Hong Kong,1/28/20 23:00,8,0.0,0.0
31,Macau,Macau,1/28/20 23:00,7,0.0,0.0
32,Qinghai,Mainland China,1/28/20 23:00,6,0.0,0.0
33,Washington,US,1/28/20 23:00,1,0.0,0.0
34,Illinois,US,1/28/20 23:00,1,0.0,0.0
35,California,US,1/28/20 23:00,2,0.0,0.0
36,Arizona,US,1/28/20 23:00,1,0.0,0.0
37,0,Japan,1/28/20 23:00,7,0.0,1.0
38,0,Thailand,1/28/20 23:00,14,0.0,5.0
39,0,South Korea,1/28/20 23:00,4,0.0,0.0
40,0,Singapore,1/28/20 23:00,7,0.0,0.0
41,0,Vietnam,1/28/20 23:00,2,0.0,0.0
42,0,France,1/28/20 23:00,4,0.0,0.0
43,0,Nepal,1/28/20 23:00,1,0.0,0.0
44,0,Malaysia,1/28/20 23:00,4,0.0,0.0
45,Ontario,Canada,1/28/20 23:00,1,0.0,0.0
46,British Columbia,Canada,1/28/20 23:00,1,0.0,0.0
47,0,Cambodia,1/28/20 23:00,1,0.0,0.0
48,0,Sri Lanka,1/28/20 23:00,1,0.0,0.0
49,New South Wales,Australia,1/28/20 23:00,4,0.0,0.0
50,Victoria,Australia,1/28/20 23:00,1,0.0,0.0
51,Bavaria,Germany,1/28/20 23:00,4,0.0,0.0
