,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/26/20 16:00,1058,52.0,42.0
1,Guangdong,Mainland China,1/26/20 16:00,111,0.0,2.0
2,Zhejiang,Mainland China,1/26/20 16:00,104,0.0,1.0
3,Henan,Mainland China,1/26/20 16:00,83,1.0,0.0
4,Chongqing,Mainland China,1/26/20 16:00,75,0.0,0.0
5,Hunan,Mainland China,1/26/20 16:00,69,0.0,0.0
6,Beijing,Mainland China,1/26/20 16:00,68,0.0,2.0
7,Anhui,Mainland China,1/26/20 16:00,60,0.0,0.0
8,Shandong,Mainland China,1/26/20 16:00,46,0.0,0.0
9,Sichuan,Mainland China,1/26/20 16:00,44,0.0,0.0
10,Shanghai,Mainland China,1/26/20 16:00,40,1.0,1.0
11,Guangxi,Mainland China,1/26/20 16:00,36,0.0,0.0
12,Jiangxi,Mainland China,1/26/20 16:00,36,0.0,0.0
13,Fujian,Mainland China,1/26/20 16:00,35,0.0,0.0
14,Jiangsu,Mainland China,1/26/20 16:00,33,0.0,1.0
15,Hainan,Mainland China,1/26/20 16:00,22,0.0,0.0
16,Shaanxi,Mainland China,1/26/20 16:00,22,0.0,0.0
17,Liaoning,Mainland China,1/26/20 16:00,21,0.0,0.0
18,Yunnan,Mainland China,1/26/20 16:00,16,0.0,0.0
19,Heilongjiang,Mainland China,1/26/20 16:00,15,1.0,0.0
20,Tianjin,Mainland China,1/26/20 16:00,14,0.0,0.0
21,Hebei,Mainland China,1/26/20 16:00,13,1.0,0.0
22,Shanxi,Mainland China,1/26/20 16:00,9,0.0,0.0
23,Hong Kong,Hong Kong,1/26/20 16:00,8,0.0,0.0
24,Inner Mongolia,Mainland China,1/26/20 16:00,7,0.0,0.0
25,Gansu,Mainland China,1/26/20 16:00,7,0.0,0.0
26,Guizhou,Mainland China,1/26/20 16:00,5,0.0,0.0
27,Macau,Macau,1/26/20 16:00,5,0.0,0.0
28,Ningxia,Mainland China,1/26/20 16:00,4,0.0,0.0
29,Jilin,Mainland China,1/26/20 16:00,4,0.0,0.0
30,Taiwan,Taiwan,1/26/20 16:00,4,0.0,0.0
31,Xinjiang,Mainland China,1/26/20 16:00,4,0.0,0.0
32,Qinghai,Mainland China,1/26/20 16:00,1,0.0,0.0
33,Washington,US,1/26/20 16:00,1,0.0,0.0
34,Illinois,US,1/26/20 16:00,1,0.0,0.0
35,California,US,1/26/20 16:00,2,0.0,0.0
36,Arizona,US,1/26/20 16:00,1,0.0,0.0
37,0,Japan,1/26/20 16:00,4,0.0,1.0
38,0,Thailand,1/26/20 16:00,8,0.0,2.0
39,0,South Korea,1/26/20 16:00,3,0.0,0.0
40,0,Singapore,1/26/20 16:00,4,0.0,0.0
41,0,Vietnam,1/26/20 16:00,2,0.0,0.0
42,0,France,1/26/20 16:00,3,0.0,0.0
43,0,Australia,1/26/20 16:00,4,0.0,0.0
44,0,Nepal,1/26/20 16:00,1,0.0,0.0
45,0,Malaysia,1/26/20 16:00,4,0.0,0.0
46,Ontario,Canada,1/26/20 16:00,1,0.0,0.0
