,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/30/20 16:00,4903,162.0,90.0
1,Zhejiang,Mainland China,1/30/20 16:00,428,0.0,4.0
2,Guangdong,Mainland China,1/30/20 16:00,354,0.0,10.0
3,Henan,Mainland China,1/30/20 16:00,278,2.0,2.0
4,Hunan,Mainland China,1/30/20 16:00,277,0.0,2.0
5,Anhui,Mainland China,1/30/20 16:00,200,0.0,2.0
6,Chongqing,Mainland China,1/30/20 16:00,182,0.0,1.0
7,Jiangxi,Mainland China,1/30/20 16:00,162,0.0,5.0
8,Shandong,Mainland China,1/30/20 16:00,158,0.0,1.0
9,Sichuan,Mainland China,1/30/20 16:00,142,1.0,1.0
10,Jiangsu,Mainland China,1/30/20 16:00,129,0.0,1.0
11,Beijing,Mainland China,1/30/20 16:00,114,1.0,4.0
12,Shanghai,Mainland China,1/30/20 16:00,112,1.0,5.0
13,Fujian,Mainland China,1/30/20 16:00,101,0.0,0.0
14,Guangxi,Mainland China,1/30/20 16:00,78,0.0,2.0
15,Yunnan,Mainland China,1/30/20 16:00,70,0.0,0.0
16,Hebei,Mainland China,1/30/20 16:00,65,1.0,0.0
17,Shaanxi,Mainland China,1/30/20 16:00,63,0.0,0.0
18,Hainan,Mainland China,1/30/20 16:00,46,1.0,1.0
19,Heilongjiang,Mainland China,1/30/20 16:00,44,2.0,0.0
20,Liaoning,Mainland China,1/30/20 16:00,41,0.0,1.0
21,Shanxi,Mainland China,1/30/20 16:00,35,0.0,1.0
22,Tianjin,Mainland China,1/30/20 16:00,31,0.0,0.0
23,Gansu,Mainland China,1/30/20 16:00,26,0.0,0.0
24,Inner Mongolia,Mainland China,1/30/20 16:00,19,0.0,0.0
25,Ningxia,Mainland China,1/30/20 16:00,17,0.0,0.0
26,Jilin,Mainland China,1/30/20 16:00,14,0.0,1.0
27,Xinjiang,Mainland China,1/30/20 16:00,14,0.0,0.0
28,Guizhou,Mainland China,1/30/20 16:00,12,0.0,1.0
29,Hong Kong,Hong Kong,1/30/20 16:00,10,0.0,0.0
30,Taiwan,Taiwan,1/30/20 16:00,9,0.0,0.0
31,Qinghai,Mainland China,1/30/20 16:00,8,0.0,0.0
32,Macau,Macau,1/30/20 16:00,7,0.0,0.0
33,Tibet,Mainland China,1/30/20 16:00,1,0.0,0.0
34,Washington,US,1/30/20 16:00,1,0.0,0.0
35,Illinois,US,1/30/20 16:00,1,0.0,0.0
36,California,US,1/30/20 16:00,2,0.0,0.0
37,Arizona,US,1/30/20 16:00,1,0.0,0.0
38,0,Japan,1/30/20 16:00,11,0.0,1.0
39,0,Thailand,1/30/20 16:00,14,0.0,5.0
40,0,South Korea,1/30/20 16:00,4,0.0,0.0
41,0,Singapore,1/30/20 16:00,10,0.0,0.0
42,0,Vietnam,1/30/20 16:00,2,0.0,0.0
43,0,France,1/30/20 16:00,5,0.0,0.0
44,0,Nepal,1/30/20 16:00,1,0.0,0.0
45,0,Malaysia,1/30/20 16:00,8,0.0,0.0
46,Ontario,Canada,1/30/20 16:00,2,0.0,0.0
47,British Columbia,Canada,1/30/20 16:00,1,0.0,0.0
48,0,Cambodia,1/30/20 16:00,1,0.0,0.0
49,0,Sri Lanka,1/30/20 16:00,1,0.0,0.0
50,New South Wales,Australia,1/30/20 16:00,4,0.0,2.0
51,Victoria,Australia,1/30/20 16:00,2,0.0,0.0
52,Queensland,Australia,1/30/20 16:00,3,0.0,0.0
53,Bavaria,Germany,1/30/20 16:00,4,0.0,0.0
54,0,Finland,1/30/20 16:00,1,0.0,0.0
55,0,United Arab Emirates,1/30/20 16:00,4,0.0,0.0
56,0,Philippines,1/30/20 16:00,1,0.0,0.0
57,0,India,1/30/20 16:00,1,0.0,0.0
