,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/25/20 17:00,761,40.0,32.0
1,Guangdong,Mainland China,1/25/20 17:00,78,0.0,2.0
2,Zhejiang,Mainland China,1/25/20 17:00,62,0.0,1.0
3,Chongqing,Mainland China,1/25/20 17:00,57,0.0,0.0
4,Hunan,Mainland China,1/25/20 17:00,43,0.0,0.0
5,Beijing,Mainland China,1/25/20 17:00,41,0.0,2.0
6,Anhui,Mainland China,1/25/20 17:00,39,0.0,0.0
7,Shanghai,Mainland China,1/25/20 17:00,33,0.0,1.0
8,Henan,Mainland China,1/25/20 17:00,32,0.0,0.0
9,Sichuan,Mainland China,1/25/20 17:00,28,0.0,0.0
10,Shandong,Mainland China,1/25/20 17:00,27,0.0,0.0
11,Guangxi,Mainland China,1/25/20 17:00,23,0.0,0.0
12,Hainan,Mainland China,1/25/20 17:00,19,0.0,0.0
13,Jiangxi,Mainland China,1/25/20 17:00,18,0.0,0.0
14,Fujian,Mainland China,1/25/20 17:00,18,0.0,0.0
15,Jiangsu,Mainland China,1/25/20 17:00,18,0.0,1.0
16,Liaoning,Mainland China,1/25/20 17:00,17,0.0,0.0
17,Shaanxi,Mainland China,1/25/20 17:00,15,0.0,0.0
18,Yunnan,Mainland China,1/25/20 17:00,11,0.0,0.0
19,Tianjin,Mainland China,1/25/20 17:00,10,0.0,0.0
20,Heilongjiang,Mainland China,1/25/20 17:00,9,1.0,0.0
21,Hebei,Mainland China,1/25/20 17:00,8,1.0,0.0
22,Inner Mongolia,Mainland China,1/25/20 17:00,7,0.0,0.0
23,Shanxi,Mainland China,1/25/20 17:00,6,0.0,0.0
24,Hong Kong,Hong Kong,1/25/20 17:00,5,0.0,0.0
25,Guizhou,Mainland China,1/25/20 17:00,4,0.0,0.0
26,Jilin,Mainland China,1/25/20 17:00,4,0.0,0.0
27,Gansu,Mainland China,1/25/20 17:00,4,0.0,0.0
28,Ningxia,Mainland China,1/25/20 17:00,3,0.0,0.0
29,Taiwan,Taiwan,1/25/20 17:00,3,0.0,0.0
30,Xinjiang,Mainland China,1/25/20 17:00,3,0.0,0.0
31,Macau,Macau,1/25/20 17:00,2,0.0,0.0
32,Qinghai,Mainland China,1/25/20 17:00,1,0.0,0.0
33,Washington,US,1/25/20 17:00,1,0.0,0.0
34,Illinois,US,1/25/20 17:00,1,0.0,0.0
35,0,Japan,1/25/20 17:00,2,0.0,0.0
36,0,Thailand,1/25/20 17:00,7,0.0,0.0
37,0,South Korea,1/25/20 17:00,2,0.0,0.0
38,0,Singapore,1/25/20 17:00,3,0.0,0.0
39,0,Vietnam,1/25/20 17:00,2,0.0,0.0
40,0,France,1/25/20 17:00,3,0.0,0.0
41,0,Australia,1/25/20 17:00,4,0.0,0.0
42,0,Nepal,1/25/20 17:00,1,0.0,0.0
43,0,Malaysia,1/25/20 17:00,3,0.0,0.0
