,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/29/20 19:30,3554,125.0,88.0
1,Zhejiang,Mainland China,1/29/20 19:30,296,0.0,3.0
2,Guangdong,Mainland China,1/29/20 19:30,277,0.0,5.0
3,Hunan,Mainland China,1/29/20 19:30,221,0.0,0.0
4,Henan,Mainland China,1/29/20 19:30,206,2.0,1.0
5,Anhui,Mainland China,1/29/20 19:30,152,0.0,2.0
6,Chongqing,Mainland China,1/29/20 19:30,147,0.0,1.0
7,Shandong,Mainland China,1/29/20 19:30,130,0.0,1.0
8,Beijing,Mainland China,1/29/20 19:30,111,1.0,4.0
9,Jiangxi,Mainland China,1/29/20 19:30,109,0.0,3.0
10,Sichuan,Mainland China,1/29/20 19:30,108,1.0,1.0
11,Jiangsu,Mainland China,1/29/20 19:30,99,0.0,1.0
12,Shanghai,Mainland China,1/29/20 19:30,96,1.0,5.0
13,Fujian,Mainland China,1/29/20 19:30,84,0.0,0.0
14,Guangxi,Mainland China,1/29/20 19:30,58,0.0,2.0
15,Shaanxi,Mainland China,1/29/20 19:30,56,0.0,0.0
16,Yunnan,Mainland China,1/29/20 19:30,55,0.0,0.0
17,Hebei,Mainland China,1/29/20 19:30,48,1.0,0.0
18,Hainan,Mainland China,1/29/20 19:30,43,1.0,0.0
19,Liaoning,Mainland China,1/29/20 19:30,39,0.0,1.0
20,Heilongjiang,Mainland China,1/29/20 19:30,38,1.0,0.0
21,Tianjin,Mainland China,1/29/20 19:30,27,0.0,0.0
22,Shanxi,Mainland China,1/29/20 19:30,27,0.0,1.0
23,Gansu,Mainland China,1/29/20 19:30,24,0.0,0.0
24,Inner Mongolia,Mainland China,1/29/20 19:30,16,0.0,0.0
25,Xinjiang,Mainland China,1/29/20 19:30,13,0.0,0.0
26,Ningxia,Mainland China,1/29/20 19:30,12,0.0,0.0
27,Hong Kong,Hong Kong,1/29/20 19:30,10,0.0,0.0
28,Guizhou,Mainland China,1/29/20 19:30,9,0.0,1.0
29,Jilin,Mainland China,1/29/20 19:30,9,0.0,0.0
30,Taiwan,Taiwan,1/29/20 19:30,8,0.0,0.0
31,Macau,Macau,1/29/20 19:30,7,0.0,0.0
32,Qinghai,Mainland China,1/29/20 19:30,6,0.0,0.0
33,Washington,US,1/29/20 19:30,1,0.0,0.0
34,Illinois,US,1/29/20 19:30,1,0.0,0.0
35,California,US,1/29/20 19:30,2,0.0,0.0
36,Arizona,US,1/29/20 19:30,1,0.0,0.0
37,0,Japan,1/29/20 19:30,7,0.0,1.0
38,0,Thailand,1/29/20 19:30,14,0.0,5.0
39,0,South Korea,1/29/20 19:30,4,0.0,0.0
40,0,Singapore,1/29/20 19:30,7,0.0,0.0
41,0,Vietnam,1/29/20 19:30,2,0.0,0.0
42,0,France,1/29/20 19:30,5,0.0,0.0
43,0,Nepal,1/29/20 19:30,1,0.0,0.0
44,0,Malaysia,1/29/20 19:30,7,0.0,0.0
45,Ontario,Canada,1/29/20 19:30,1,0.0,0.0
46,British Columbia,Canada,1/29/20 19:30,1,0.0,0.0
47,0,Cambodia,1/29/20 19:30,1,0.0,0.0
48,0,Sri Lanka,1/29/20 19:30,1,0.0,0.0
49,New South Wales,Australia,1/29/20 19:30,4,0.0,0.0
50,Victoria,Australia,1/29/20 19:30,1,0.0,0.0
51,Bavaria,Germany,1/29/20 19:30,4,0.0,0.0
52,0,Finland,1/29/20 19:30,1,0.0,0.0
53,0,United Arab Emirates,1/29/20 19:30,4,0.0,0.0
